00ZH               20131030                                                                                   
0601ZHA0N       20140101001295100000005000 0000018490001425   
0601ZHA0N       20140101001300100000005000 0000018620001430   
0601ZHA0N       20140101001305100000005000 0000018750001434   
0601ZHA0N       20140101001310100000005000 0000018870001438   
0601ZHA0N       20140101001315100000005000 0000019010001443   
0601ZHA0N       20140101001320100000005000 0000019140001447   
0601ZHA0N       20140101001325100000005000 0000019270001452   
0601ZHA0N       20140101001330100000005000 0000019390001455   
0601ZHA0N       20140101001335100000005000 0000019540001461   
0601ZHA0N       20140101001340100000005000 0000019660001464   
0601ZHA0N       20140101001345100000005000 0000019790001469   
0601ZHA0N       20140101001350100000005000 0000019920001473   
0601ZHA0N       20140101001355100000005000 0000020040001476   
0601ZHA0N       20140101001360100000005000 0000020180001481   
0601ZHA0N       20140101001365100000005000 0000020310001485   
0601ZHA0N       20140101001370100000005000 0000020440001489   
0601ZHA0N       20140101001375100000005000 0000020570001493   
0601ZHA0N       20140101001380100000005000 0000020730001499   
0601ZHA0N       20140101001385100000005000 0000020860001503   
0601ZHA0N       20140101001390100000005000 0000020990001507   
0601ZHA0N       20140101001395100000005000 0000021140001513   
0601ZHA0N       20140101001400100000005000 0000021290001518   
0601ZHA0N       20140101001405100000005000 0000021420001522   
0601ZHA0N       20140101001410100000005000 0000021560001526   
0601ZHA0N       20140101001415100000005000 0000021690001530   
0601ZHA0N       20140101001420100000005000 0000021840001535   
0601ZHA0N       20140101001425100000005000 0000021990001540   
0601ZHA0N       20140101001430100000005000 0000022120001544   
0601ZHA0N       20140101001435100000005000 0000022250001548   
0601ZHA0N       20140101001440100000005000 0000022410001554   
0601ZHA0N       20140101001445100000005000 0000022550001558   
0601ZHA0N       20140101001450100000005000 0000022680001561   
0601ZHA0N       20140101001455100000005000 0000022820001566   
0601ZHA0N       20140101001460100000005000 0000022970001571   
0601ZHA0N       20140101001465100000005000 0000023110001575   
0601ZHA0N       20140101001470100000005000 0000023250001579   
0601ZHA0N       20140101001475100000005000 0000023380001582   
0601ZHA0N       20140101001480100000005000 0000023540001588   
0601ZHA0N       20140101001485100000005000 0000023690001593   
0601ZHA0N       20140101001490100000005000 0000023840001597   
0601ZHA0N       20140101001495100000005000 0000023980001601   
0601ZHA0N       20140101001500100000005000 0000024130001606   
0601ZHA0N       20140101001505100000005000 0000024290001611   
0601ZHA0N       20140101001510100000005000 0000024430001615   
0601ZHA0N       20140101001515100000005000 0000024580001620   
0601ZHA0N       20140101001520100000005000 0000024730001624   
0601ZHA0N       20140101001525100000005000 0000024890001629   
0601ZHA0N       20140101001530100000005000 0000025040001634   
0601ZHA0N       20140101001535100000005000 0000025180001638   
0601ZHA0N       20140101001540100000005000 0000025320001641   
0601ZHA0N       20140101001545100000005000 0000025490001647   
0601ZHA0N       20140101001550100000005000 0000025630001651   
0601ZHA0N       20140101001555100000005000 0000025770001655   
0601ZHA0N       20140101001560100000005000 0000025920001659   
0601ZHA0N       20140101001565100000005000 0000026090001664   
0601ZHA0N       20140101001570100000005000 0000026230001668   
0601ZHA0N       20140101001575100000005000 0000026370001672   
0601ZHA0N       20140101001580100000005000 0000026520001676   
0601ZHA0N       20140101001585100000005000 0000026680001681   
0601ZHA0N       20140101001590100000005000 0000026820001684   
0601ZHA0N       20140101001595100000005000 0000026980001689   
0601ZHA0N       20140101001600100000200000 0000000000001762   
0601ZHA0N       20140101001800100000200000 0000000000001906   
0601ZHA0N       20140101002000100000500000 0000000000002128   
0601ZHA0N       20140101002500100000500000 0000000000002363   
0601ZHA0N       20140101003000100000500000 0000000000002547   
0601ZHA0N       20140101003500100000500000 0000000000002681   
0601ZHA0N       20140101004000100000500000 0000000000002783   
0601ZHA0N       20140101004500100000500000 0000000000002864   
0601ZHA0N       20140101005000100005000000 0000000000003110   
0601ZHA0N       20140101010000100005000000 0000000000003183   
0601ZHA1N       20140101000000100000080000 0100000020000026   
0601ZHA1N       20140101000080100000005000 0100000020000024   
0601ZHA1N       20140101000085100000005000 0100000020000023   
0601ZHA1N       20140101000090100000005000 0100000020000022   
0601ZHA1N       20140101000095100000005000 0100000020000021   
0601ZHA1N       20140101000100100000005000 0100000020000020   
0601ZHA1N       20140101000105100000005000 0100000020000019   
0601ZHA1N       20140101000110100000005000 0100000020000018   
0601ZHA1N       20140101000115100000005000 0100000020000017   
0601ZHA1N       20140101000120100000005000 0100000020000016   
0601ZHA1N       20140101000125100000005000 0100000020000016   
0601ZHA1N       20140101000130100000005000 0100000020000015   
0601ZHA1N       20140101000135100000005000 0100000020000015   
0601ZHA1N       20140101000140100000005000 0100000020000014   
0601ZHA1N       20140101000145100000005000 0100000020000014   
0601ZHA1N       20140101000150100000005000 0100000020000013   
0601ZHA1N       20140101000155100000005000 0100000020000013   
0601ZHA1N       20140101000160100000005000 0100000020000012   
0601ZHA1N       20140101000165100000005000 0100000020000012   
0601ZHA1N       20140101000170100000005000 0100000020000012   
0601ZHA1N       20140101000175100000005000 0100000020000011   
0601ZHA1N       20140101000180100000005000 0100000020000011   
0601ZHA1N       20140101000185100000005000 0100000020000011   
0601ZHA1N       20140101000190100000005000 0100000020000010   
0601ZHA1N       20140101000195100000005000 0100000020000010   
0601ZHA1N       20140101000200100000005000 0100000020000010   
0601ZHA1N       20140101000205100000005000 0100000020000010   
0601ZHA1N       20140101000210100000005000 0100000020000009   
0601ZHA1N       20140101000215100000005000 0100000020000009   
0601ZHA1N       20140101000220100000005000 0100000020000009   
0601ZHA1N       20140101000225100000005000 0100000020000009   
0601ZHA1N       20140101000230100000005000 0100000020000009   
0601ZHA1N       20140101000235100000005000 0100000020000008   
0601ZHA1N       20140101000240100000005000 0100000020000008   
0601ZHA1N       20140101000245100000005000 0100000020000008   
0601ZHA1N       20140101000250100000005000 0100000020000008   
0601ZHA1N       20140101000255100000005000 0100000020000008   
0601ZHA1N       20140101000260100000005000 0100000030000011   
0601ZHA1N       20140101000265100000005000 0100000050000019   
0601ZHA1N       20140101000270100000005000 0100000070000026   
0601ZHA1N       20140101000275100000005000 0100000080000029   
0601ZHA1N       20140101000280100000005000 0100000100000035   
0601ZHA1N       20140101000285100000005000 0100000120000042   
0601ZHA1N       20140101000290100000005000 0100000140000048   
0601ZHA1N       20140101000295100000005000 0100000160000054   
0601ZHA1N       20140101000300100000005000 0100000170000056   
0601ZHA1N       20140101000305100000005000 0100000220000072   
0601ZHA1N       20140101000310100000005000 0100000250000080   
0601ZHA1N       20140101000315100000005000 0100000280000088   
0601ZHA1N       20140101000320100000005000 0100000300000093   
0601ZHA1N       20140101000325100000005000 0100000330000101   
0601ZHA1N       20140101000330100000005000 0100000360000108   
0601ZHA1N       20140101000335100000005000 0100000400000119   
0601ZHA1N       20140101000340100000005000 0100000430000126   
0601ZHA1N       20140101000345100000005000 0100000460000132   
0601ZHA1N       20140101000350100000005000 0100000490000139   
0601ZHA1N       20140101000355100000005000 0100000530000148   
0601ZHA1N       20140101000360100000005000 0100000560000154   
0601ZHA1N       20140101000365100000005000 0100000600000163   
0601ZHA1N       20140101000370100000005000 0100000640000172   
0601ZHA1N       20140101000375100000005000 0100000690000183   
0601ZHA1N       20140101000380100000005000 0100000720000188   
0601ZHA1N       20140101000385100000005000 0100000760000196   
0601ZHA1N       20140101000390100000005000 0100000800000204   
0601ZHA1N       20140101000395100000005000 0100000840000211   
0601ZHA1N       20140101000400100000005000 0100000880000219   
0601ZHA1N       20140101000405100000005000 0100000910000223   
0601ZHA1N       20140101000410100000005000 0100000950000230   
0601ZHA1N       20140101000415100000005000 0100001000000240   
0601ZHA1N       20140101000420100000005000 0100001040000246   
0601ZHA1N       20140101000425100000005000 0100001080000253   
0601ZHA1N       20140101000430100000005000 0100001120000259   
0601ZHA1N       20140101000435100000005000 0100001170000267   
0601ZHA1N       20140101000440100000005000 0100001220000276   
0601ZHA1N       20140101000445100000005000 0100001270000284   
0601ZHA1N       20140101000450100000005000 0100001310000290   
0601ZHA1N       20140101000455100000005000 0100001370000299   
0601ZHA1N       20140101000460100000005000 0100001420000307   
0601ZHA1N       20140101000465100000005000 0100001460000312   
0601ZHA1N       20140101000470100000005000 0100001510000320   
0601ZHA1N       20140101000475100000005000 0100001560000327   
0601ZHA1N       20140101000480100000005000 0100001610000334   
0601ZHA1N       20140101000485100000005000 0100001650000338   
0601ZHA1N       20140101000490100000005000 0100001710000347   
0601ZHA1N       20140101000495100000005000 0100001760000354   
0601ZHA1N       20140101000500100000005000 0100001800000358   
0601ZHA1N       20140101000505100000005000 0100001850000365   
0601ZHA1N       20140101000510100000005000 0100001900000371   
0601ZHA1N       20140101000515100000005000 0100001950000377   
0601ZHA1N       20140101000520100000005000 0100002000000383   
0601ZHA1N       20140101000525100000005000 0100002060000391   
0601ZHA1N       20140101000530100000005000 0100002130000400   
0601ZHA1N       20140101000535100000005000 0100002180000406   
0601ZHA1N       20140101000540100000005000 0100002250000415   
0601ZHA1N       20140101000545100000005000 0100002310000422   
0601ZHA1N       20140101000550100000005000 0100002370000429   
0601ZHA1N       20140101000555100000005000 0100002440000438   
0601ZHA1N       20140101000560100000005000 0100002500000444   
0601ZHA1N       20140101000565100000005000 0100002560000451   
0601ZHA1N       20140101000570100000005000 0100002640000461   
0601ZHA1N       20140101000575100000005000 0100002700000468   
0601ZHA1N       20140101000580100000005000 0100002760000474   
0601ZHA1N       20140101000585100000005000 0100002820000480   
0601ZHA1N       20140101000590100000005000 0100002880000486   
0601ZHA1N       20140101000595100000005000 0100002930000490   
0601ZHA1N       20140101000600100000005000 0100003000000498   
0601ZHA1N       20140101000605100000005000 0100003060000504   
0601ZHA1N       20140101000610100000005000 0100003110000508   
0601ZHA1N       20140101000615100000005000 0100003180000515   
0601ZHA1N       20140101000620100000005000 0100003230000519   
0601ZHA1N       20140101000625100000005000 0100003300000526   
0601ZHA1N       20140101000630100000005000 0100003360000531   
0601ZHA1N       20140101000635100000005000 0100003430000538   
0601ZHA1N       20140101000640100000005000 0100003490000543   
0601ZHA1N       20140101000645100000005000 0100003560000550   
0601ZHA1N       20140101000650100000005000 0100003620000555   
0601ZHA1N       20140101000655100000005000 0100003690000561   
0601ZHA1N       20140101000660100000005000 0100003750000566   
0601ZHA1N       20140101000665100000005000 0100003830000574   
0601ZHA1N       20140101000670100000005000 0100003890000578   
0601ZHA1N       20140101000675100000005000 0100003960000585   
0601ZHA1N       20140101000680100000005000 0100004020000589   
0601ZHA1N       20140101000685100000005000 0100004090000595   
0601ZHA1N       20140101000690100000005000 0100004150000599   
0601ZHA1N       20140101000695100000005000 0100004230000606   
0601ZHA1N       20140101000700100000005000 0100004300000612   
0601ZHA1N       20140101000705100000005000 0100004360000616   
0601ZHA1N       20140101000710100000005000 0100004440000623   
0601ZHA1N       20140101000715100000005000 0100004500000627   
0601ZHA1N       20140101000720100000005000 0100004570000633   
0601ZHA1N       20140101000725100000005000 0100004630000636   
0601ZHA1N       20140101000730100000005000 0100004710000643   
0601ZHA1N       20140101000735100000005000 0100004770000647   
0601ZHA1N       20140101000740100000005000 0100004840000652   
0601ZHA1N       20140101000745100000005000 0100004900000656   
0601ZHA1N       20140101000750100000005000 0100004980000662   
0601ZHA1N       20140101000755100000005000 0100005040000665   
0601ZHA1N       20140101000760100000005000 0100005110000670   
0601ZHA1N       20140101000765100000005000 0100005180000675   
0601ZHA1N       20140101000770100000005000 0100005260000681   
0601ZHA1N       20140101000775100000005000 0100005330000686   
0601ZHA1N       20140101000780100000005000 0100005410000691   
0601ZHA1N       20140101000785100000005000 0100005500000698   
0601ZHA1N       20140101000790100000005000 0100005560000702   
0601ZHA1N       20140101000795100000005000 0100005650000708   
0601ZHA1N       20140101000800100000005000 0100005710000712   
0601ZHA1N       20140101000805100000005000 0100005800000718   
0601ZHA1N       20140101000810100000005000 0100005860000721   
0601ZHA1N       20140101000815100000005000 0100005950000728   
0601ZHA1N       20140101000820100000005000 0100006010000731   
0601ZHA1N       20140101000825100000005000 0100006100000737   
0601ZHA1N       20140101000830100000005000 0100006170000741   
0601ZHA1N       20140101000835100000005000 0100006250000746   
0601ZHA1N       20140101000840100000005000 0100006320000750   
0601ZHA1N       20140101000845100000005000 0100006400000755   
0601ZHA1N       20140101000850100000005000 0100006480000760   
0601ZHA1N       20140101000855100000005000 0100006570000766   
0601ZHA1N       20140101000860100000005000 0100006650000771   
0601ZHA1N       20140101000865100000005000 0100006750000778   
0601ZHA1N       20140101000870100000005000 0100006830000783   
0601ZHA1N       20140101000875100000005000 0100006920000789   
0601ZHA1N       20140101000880100000005000 0100007020000795   
0601ZHA1N       20140101000885100000005000 0100007100000800   
0601ZHA1N       20140101000890100000005000 0100007200000807   
0601ZHA1N       20140101000895100000005000 0100007280000811   
0601ZHA1N       20140101000900100000005000 0100007370000817   
0601ZHA1N       20140101000905100000005000 0100007450000821   
0601ZHA1N       20140101000910100000005000 0100007550000827   
0601ZHA1N       20140101000915100000005000 0100007640000833   
0601ZHA1N       20140101000920100000005000 0100007730000838   
