00LU               20141215                                                                                   
0601LUA0Y       20150101002295100000005000 0000051490002241   
0601LUA0Y       20150101002300100000005000 0000051630002242   
0601LUA0Y       20150101002305100000005000 0000051810002245   
0601LUA0Y       20150101002310100000005000 0000051960002247   
0601LUA0Y       20150101002315100000005000 0000052100002248   
0601LUA0Y       20150101002320100000005000 0000052280002251   
0601LUA0Y       20150101002325100000005000 0000052430002253   
0601LUA0Y       20150101002330100000005000 0000052580002254   
0601LUA0Y       20150101002335100000005000 0000052750002257   
0601LUA0Y       20150101002340100000005000 0000052900002258   
0601LUA0Y       20150101002345100000005000 0000053050002260   
0601LUA0Y       20150101002350100000005000 0000053220002262   
0601LUA0Y       20150101002355100000005000 0000053370002264   
0601LUA0Y       20150101002360100000005000 0000053520002265   
0601LUA0Y       20150101002365100000005000 0000053690002268   
0601LUA0Y       20150101002370100000005000 0000053840002269   
0601LUA0Y       20150101002375100000005000 0000053990002271   
0601LUA0Y       20150101002380100000005000 0000054170002274   
0601LUA0Y       20150101002385100000005000 0000054310002275   
0601LUA0Y       20150101002390100000005000 0000054460002276   
0601LUA0Y       20150101002395100000005000 0000054640002279   
0601LUA0Y       20150101002400100000005000 0000054780002280   
0601LUA0Y       20150101002405100000005000 0000054930002282   
0601LUA0Y       20150101002410100000005000 0000055110002284   
0601LUA0Y       20150101002415100000005000 0000055260002286   
0601LUA0Y       20150101002420100000005000 0000055400002287   
0601LUA0Y       20150101002425100000005000 0000055580002290   
0601LUA0Y       20150101002430100000005000 0000055730002291   
0601LUA0Y       20150101002435100000005000 0000055870002292   
0601LUA0Y       20150101002440100000005000 0000056050002295   
0601LUA0Y       20150101002445100000005000 0000056200002296   
0601LUA0Y       20150101002450100000005000 0000056350002298   
0601LUA0Y       20150101002455100000005000 0000056520002300   
0601LUA0Y       20150101002460100000005000 0000056670002301   
0601LUA0Y       20150101002465100000005000 0000056820002303   
0601LUA0Y       20150101002470100000005000 0000056990002305   
0601LUA0Y       20150101002475100000005000 0000057140002306   
0601LUA0Y       20150101002480100000005000 0000057290002308   
0601LUA0Y       20150101002485100000005000 0000057470002310   
0601LUA0Y       20150101002490100000005000 0000057610002311   
0601LUA0Y       20150101002495100000005000 0000057760002313   
0601LUA0Y       20150101002500100000005000 0000057940002315   
0601LUA0Y       20150101002505100000005000 0000058080002316   
0601LUA0Y       20150101002510100000005000 0000058230002318   
0601LUA0Y       20150101002515100000005000 0000058410002320   
0601LUA0Y       20150101002520100000005000 0000058560002322   
0601LUA0Y       20150101002525100000005000 0000058700002322   
0601LUA0Y       20150101002530100000005000 0000058880002325   
0601LUA0Y       20150101002535100000005000 0000059030002326   
0601LUA0Y       20150101002540100000005000 0000059170002327   
0601LUA0Y       20150101002545100000005000 0000059350002330   
0601LUA0Y       20150101002550100000005000 0000059500002331   
0601LUA0Y       20150101002555100000005000 0000059650002332   
0601LUA0Y       20150101002560100000005000 0000059820002334   
0601LUA0Y       20150101002565100000005000 0000059970002336   
0601LUA0Y       20150101002570100000005000 0000060120002337   
0601LUA0Y       20150101002575100000005000 0000060290002339   
0601LUA0Y       20150101002580100000005000 0000060440002340   
0601LUA0Y       20150101002585100000005000 0000060590002342   
0601LUA0Y       20150101002590100000005000 0000060760002344   
0601LUA0Y       20150101002595100000005000 0000060910002345   
0601LUA0Y       20150101002600100000005000 0000061060002346   
0601LUA0Y       20150101002605100000005000 0000061240002349   
0601LUA0Y       20150101002610100000005000 0000061380002349   
0601LUA0Y       20150101002615100000005000 0000061530002351   
0601LUA0Y       20150101002620100000005000 0000061710002353   
0601LUA0Y       20150101002625100000005000 0000061850002354   
0601LUA0Y       20150101002630100000005000 0000062000002355   
0601LUA0Y       20150101002635100000005000 0000062180002358   
0601LUA0Y       20150101002640100000005000 0000062330002359   
0601LUA0Y       20150101002645100000005000 0000062470002360   
0601LUA0Y       20150101002650100000005000 0000062650002362   
0601LUA0Y       20150101002655100000005000 0000062800002363   
0601LUA0Y       20150101002660100000005000 0000062940002364   
0601LUA0Y       20150101002665100000005000 0000063120002366   
0601LUA0Y       20150101002670100000005000 0000063270002367   
0601LUA0Y       20150101002675100000005000 0000063420002369   
0601LUA0Y       20150101002680100000005000 0000063590002371   
0601LUA0Y       20150101002685100000005000 0000063740002372   
0601LUA0Y       20150101002690100000005000 0000063890002373   
