00BS               20151102                                                                                   
0601BSA1N       20160101000200100000010000 0100000000000000   
0601BSA1N       20160101000210100000010000 0100000000000000   
0601BSA1N       20160101000220100000010000 0100000000000000   
0601BSA1N       20160101000230100000010000 0100000000000000   
0601BSA1N       20160101000240100000010000 0100000000000000   
0601BSA1N       20160101000250100000010000 0100000000000000   
0601BSA1N       20160101000260100000010000 0100000000000000   
0601BSA1N       20160101000270100000010000 0100000000000000   
0601BSA1N       20160101000280100000010000 0100000000000000   
0601BSA1N       20160101000290100000010000 0100000000000002   
0601BSA1N       20160101000300100000010000 0100000000000016   
0601BSA1N       20160101000310100000010000 0100000000000076   
0601BSA1N       20160101000320100000010000 0100000000000139   
0601BSA1N       20160101000330100000010000 0100000000000192   
0601BSA1N       20160101000340100000010000 0100000000000247   
0601BSA1N       20160101000350100000010000 0100000000000294   
0601BSA1N       20160101000360100000010000 0100000000000339   
0601BSA1N       20160101000370100000010000 0100000000000386   
0601BSA1N       20160101000380100000010000 0100000000000426   
0601BSA1N       20160101000390100000010000 0100000000000468   
0601BSA1N       20160101000400100000010000 0100000000000504   
0601BSA1N       20160101000410100000010000 0100000000000543   
0601BSA1N       20160101000420100000010000 0100000000000575   
0601BSA1N       20160101000430100000010000 0100000000000610   
0601BSA1N       20160101000440100000010000 0100000000000639   
0601BSA1N       20160101000450100000010000 0100000000000668   
0601BSA1N       20160101000460100000010000 0100000000000699   
0601BSA1N       20160101000470100000010000 0100000000000725   
0601BSA1N       20160101000480100000010000 0100000000000753   
0601BSA1N       20160101000490100000010000 0100000000000777   
0601BSA1N       20160101000500100000010000 0100000000000804   
0601BSA1N       20160101000510100000010000 0100000000000825   
0601BSA1N       20160101000520100000010000 0100000000000847   
0601BSA1N       20160101000530100000010000 0100000000000870   
0601BSA1N       20160101000540100000010000 0100000000000890   
0601BSA1N       20160101000550100000010000 0100000000000913   
0601BSA1N       20160101000560100000010000 0100000000000933   
0601BSA1N       20160101000570100000010000 0100000000000956   
0601BSA1N       20160101000580100000010000 0100000000000975   
0601BSA1N       20160101000590100000010000 0100000000000997   
0601BSA1N       20160101000600100000010000 0100000000001015   
0601BSA1N       20160101000610100000010000 0100000000001032   
0601BSA1N       20160101000620100000010000 0100000000001052   
0601BSA1N       20160101000630100000010000 0100000000001068   
0601BSA1N       20160101000640100000010000 0100000000001086   
0601BSA1N       20160101000650100000010000 0100000000001102   
0601BSA1N       20160101000660100000010000 0100000000001119   
0601BSA1N       20160101000670100000010000 0100000000001133   
0601BSA1N       20160101000680100000010000 0100000000001147   
0601BSA1N       20160101000690100000010000 0100000000001163   
0601BSA1N       20160101000700100000010000 0100000000001176   
0601BSA1N       20160101000710100000010000 0100000000001192   
0601BSA1N       20160101000720100000010000 0100000000001205   
0601BSA1N       20160101000730100000010000 0100000000001220   
0601BSA1N       20160101000740100000010000 0100000000001231   
0601BSA1N       20160101000750100000010000 0100000000001245   
0601BSA1N       20160101000760100000010000 0100000000001257   
0601BSA1N       20160101000770100000010000 0100000000001267   
0601BSA1N       20160101000780100000010000 0100000000001280   
0601BSA1N       20160101000790100000010000 0100000000001291   
0601BSA1N       20160101000800100000010000 0100000000001303   
0601BSA1N       20160101000810100000010000 0100000000001313   
