00GE               20171120                                                                                   
0601GEA0N       20180101001775005000005000 0000000000002489   
0601GEA0N       20180101001780005000005000 0000000000002492   
0601GEA0N       20180101001785005000005000 0000000000002496   
0601GEA0N       20180101001790005000005000 0000000000002499   
0601GEA0N       20180101001795005000005000 0000000000002503   
0601GEA0N       20180101001800005000005000 0000000000002507   
0601GEA0N       20180101001805005000005000 0000000000002510   
0601GEA0N       20180101001810005000005000 0000000000002514   
0601GEA0N       20180101001815005000005000 0000000000002518   
0601GEA0N       20180101001820005000005000 0000000000002521   
0601GEA0N       20180101001825005000005000 0000000000002524   
0601GEA0N       20180101001830005000005000 0000000000002528   
0601GEA0N       20180101001835005000005000 0000000000002532   
0601GEA0N       20180101001840005000005000 0000000000002535   
0601GEA0N       20180101001845005000005000 0000000000002539   
0601GEA0N       20180101001850005000005000 0000000000002542   
0601GEA0N       20180101001855005000005000 0000000000002545   
0601GEA0N       20180101001860005000005000 0000000000002549   
0601GEA0N       20180101001865005000005000 0000000000002552   
0601GEA0N       20180101001870005000005000 0000000000002555   
0601GEA0N       20180101001875005000005000 0000000000002559   
0601GEA0N       20180101001880005000005000 0000000000002562   
0601GEA0N       20180101001885005000005000 0000000000002565   
0601GEA0N       20180101001890005000005000 0000000000002569   
0601GEA0N       20180101001895005000005000 0000000000002572   
0601GEA0N       20180101001900005000005000 0000000000002575   
0601GEA0N       20180101001905005000005000 0000000000002579   
0601GEA0N       20180101001910005000005000 0000000000002582   
0601GEA0N       20180101001915005000005000 0000000000002585   
0601GEA0N       20180101001920005000005000 0000000000002588   
0601GEA0N       20180101001925005000005000 0000000000002591   
0601GEA0N       20180101001930005000005000 0000000000002594   
0601GEA0N       20180101001935005000005000 0000000000002598   
0601GEA0N       20180101001940005000005000 0000000000002601   
0601GEA0N       20180101001945005000005000 0000000000002604   
0601GEA0N       20180101001950005000005000 0000000000002607   
0601GEA0N       20180101001955005000005000 0000000000002610   
0601GEA0N       20180101001960005000005000 0000000000002613   
0601GEA0N       20180101001965005000010000 0000000000002617   
0601GEA0N       20180101001975005000010000 0000000000002624   
0601GEA0N       20180101001985005000010000 0000000000002630   
0601GEA0N       20180101001995005000010000 0000000000002635   
0601GEA0N       20180101002005005000010000 0000000000002641   
0601GEA0N       20180101002015005000010000 0000000000002647   
0601GEA0N       20180101002025005000010000 0000000000002653   
0601GEA0N       20180101002035005000010000 0000000000002659   
0601GEA0N       20180101002045005000010000 0000000000002664   
0601GEA0N       20180101002055005000010000 0000000000002670   
0601GEA0N       20180101002065005000010000 0000000000002675   
0601GEA0N       20180101002075005000010000 0000000000002681   
0601GEA0N       20180101002085005000010000 0000000000002686   
0601GEA0N       20180101002095005000010000 0000000000002692   
0601GEA0N       20180101002105005000010000 0000000000002697   
0601GEA0N       20180101002115005000010000 0000000000002702   
0601GEA0N       20180101002125005000010000 0000000000002707   
0601GEA0N       20180101002135005000010000 0000000000002712   
0601GEA0N       20180101002145005000010000 0000000000002717   
0601GEA0N       20180101002155005000010000 0000000000002723   
0601GEA0N       20180101002165005000010000 0000000000002727   
0601GEA0N       20180101002175005000010000 0000000000002733   
0601GEA0N       20180101002185005000010000 0000000000002738   
0601GEA0N       20180101002195005000010000 0000000000002742   
0601GEA0N       20180101002205005000010000 0000000000002747   
0601GEA0N       20180101002215005000010000 0000000000002752   
0601GEA0N       20180101002225005000010000 0000000000002757   
0601GEA0N       20180101002235005000010000 0000000000002761   
0601GEA0N       20180101002245005000010000 0000000000002766   
0601GEA0N       20180101002255005000010000 0000000000002771   
0601GEA0N       20180101002265005000010000 0000000000002775   
0601GEA0N       20180101002275005000010000 0000000000002780   
0601GEA0N       20180101002285005000010000 0000000000002784   
0601GEA0N       20180101002295005000010000 0000000000002789   
0601GEA0N       20180101002305005000010000 0000000000002793   
0601GEA0N       20180101002315005000010000 0000000000002798   
0601GEA0N       20180101002325005000010000 0000000000002802   
0601GEA0N       20180101002335005000010000 0000000000002807   
0601GEA0N       20180101002345005000010000 0000000000002811   
0601GEA0N       20180101002355005000010000 0000000000002815   
0601GEA0N       20180101002365005000010000 0000000000002819   
0601GEA0N       20180101002375005000010000 0000000000002823   
0601GEA0N       20180101002385005000010000 0000000000002827   
0601GEA0N       20180101002395005000010000 0000000000002832   
0601GEA0N       20180101002405005000010000 0000000000002835   
0601GEA0N       20180101002415005000010000 0000000000002840   
0601GEA0N       20180101002425005000010000 0000000000002844   
0601GEA0N       20180101002435005000010000 0000000000002847   
0601GEA0N       20180101002445005000010000 0000000000002852   
0601GEA0N       20180101002455005000010000 0000000000002856   
0601GEA0N       20180101002465005000010000 0000000000002859   
0601GEA0N       20180101002475005000010000 0000000000002863   
0601GEA0N       20180101002485005000010000 0000000000002867   
0601GEA0N       20180101002495005000010000 0000000000002871   
0601GEA0N       20180101002505005000010000 0000000000002875   
0601GEA0N       20180101002515005000010000 0000000000002878   
0601GEA0N       20180101002525005000010000 0000000000002882   
0601GEA0N       20180101002535005000010000 0000000000002886   
0601GEA0N       20180101002545005000010000 0000000000002890   
0601GEA0N       20180101002555005000010000 0000000000002894   
0601GEA0N       20180101002565005000010000 0000000000002898   
0601GEA0N       20180101002575005000010000 0000000000002901   
0601GEA0N       20180101002585005000010000 0000000000002905   
0601GEA0N       20180101002595005000010000 0000000000002909   
0601GEA0N       20180101002605005000010000 0000000000002913   
0601GEA0N       20180101002615005000010000 0000000000002916   
0601GEA0N       20180101002625005000010000 0000000000002920   
0601GEA0N       20180101002635005000010000 0000000000002924   
0601GEA0N       20180101002645005000010000 0000000000002927   
0601GEA0N       20180101002655005000010000 0000000000002931   
0601GEA0N       20180101002665005000010000 0000000000002935   
0601GEA0N       20180101002675005000010000 0000000000002938   
0601GEA0N       20180101002685005000010000 0000000000002942   
0601GEA0N       20180101002695005000010000 0000000000002946   
0601GEA0N       20180101002705005000010000 0000000000002949   
0601GEA0N       20180101002715005000010000 0000000000002953   
0601GEA0N       20180101002725005000010000 0000000000002957   
0601GEA0N       20180101002735005000010000 0000000000002961   
0601GEA0N       20180101002745005000010000 0000000000002964   
0601GEA0N       20180101002755005000010000 0000000000002968   
0601GEA0N       20180101002765005000010000 0000000000002972   
0601GEA0N       20180101002775005000010000 0000000000002975   
0601GEA0N       20180101002785005000010000 0000000000002979   
0601GEA0N       20180101002795005000010000 0000000000002982   
0601GEA0N       20180101002805005000010000 0000000000002986   
0601GEA0N       20180101002815005000010000 0000000000002989   
0601GEA0N       20180101002825005000010000 0000000000002993   
0601GEA0N       20180101002835005000010000 0000000000002996   
0601GEA0N       20180101002845005000010000 0000000000002999   
0601GEA0N       20180101002855005000010000 0000000000003003   
0601GEA0N       20180101002865005000010000 0000000000003006   
0601GEA0N       20180101002875005000010000 0000000000003009   
0601GEA0N       20180101002885005000010000 0000000000003013   
0601GEA0N       20180101002895005000010000 0000000000003016   
0601GEA0N       20180101002905005000010000 0000000000003019   
0601GEA0N       20180101002915005000010000 0000000000003023   
0601GEA0N       20180101002925005000010000 0000000000003026   
0601GEA0N       20180101002935005000010000 0000000000003029   
0601GEA0N       20180101002945005000010000 0000000000003032   
0601GEA0N       20180101002955005000010000 0000000000003036   
0601GEA0N       20180101002965005000010000 0000000000003038   
0601GEA0N       20180101002975005000010000 0000000000003042   
0601GEA0N       20180101002985005000010000 0000000000003045   
0601GEA0N       20180101002995005000010000 0000000000003048   
0601GEA0N       20180101003005005000010000 0000000000003051   
0601GEA0N       20180101003015005000010000 0000000000003054   
0601GEA0N       20180101003025005000010000 0000000000003057   
0601GEA0N       20180101003035005000010000 0000000000003060   
0601GEA0N       20180101003045005000010000 0000000000003063   
0601GEA0N       20180101003055005000010000 0000000000003066   
0601GEA0N       20180101003065005000010000 0000000000003069   
0601GEA0N       20180101003075005000010000 0000000000003072   
0601GEA0N       20180101003085005000010000 0000000000003075   
0601GEA0N       20180101003095005000010000 0000000000003078   
0601GEA0N       20180101003105005000010000 0000000000003080   
0601GEA0N       20180101003115005000010000 0000000000003083   
0601GEA0N       20180101003125005000010000 0000000000003086   
0601GEA0N       20180101003135005000010000 0000000000003089   
0601GEA0N       20180101003145005000010000 0000000000003092   
0601GEA0N       20180101003155005000010000 0000000000003094   
0601GEA0N       20180101003165005000010000 0000000000003097   
0601GEA0N       20180101003175005000010000 0000000000003100   
0601GEA0N       20180101003185005000010000 0000000000003103   
0601GEA0N       20180101003195005000010000 0000000000003105   
0601GEA0N       20180101003205005000010000 0000000000003108   
0601GEA0N       20180101003215005000010000 0000000000003111   
0601GEA0N       20180101003225005000010000 0000000000003113   
