00OW               20161205                                                                                   
0601OWA0N       20170101001455100000005000 0000020610001414   
0601OWA0N       20170101001460100000005000 0000020710001416   
0601OWA0N       20170101001465100000005000 0000020810001418   
0601OWA0N       20170101001470100000005000 0000020930001421   
0601OWA0N       20170101001475100000005000 0000021030001423   
0601OWA0N       20170101001480100000005000 0000021130001425   
0601OWA0N       20170101001485100000005000 0000021250001429   
0601OWA0N       20170101001490100000005000 0000021360001431   
0601OWA0N       20170101001495100000005000 0000021460001433   
0601OWA0N       20170101001500100000500000 0000026880001536   
0601OWA0N       20170101002000100000500000 0000038460001709   
0601OWA0N       20170101002500100000500000 0000050070001821   
0601OWA0N       20170101003000100000500000 0000061680001898   
0601OWA0N       20170101003500100000500000 0000073310001955   
0601OWA0N       20170101004000100000500000 0000084930001998   
0601OWA0N       20170101004500100000500000 0000096540002032   
0601OWA0N       20170101005000100000500000 0000108150002060   
0601OWA0N       20170101005500100000500000 0000119780002083   
0601OWA0N       20170101006000100000500000 0000131390002102   
0601OWA0N       20170101006500100000500000 0000143010002119   
0601OWA0N       20170101007000100000500000 0000154540002132   
0601OWA0N       20170101007500100000500000 0000165470002135   
0601OWA0N       20170101008000100000500000 0000176380002138   
0601OWA0N       20170101008500100000500000 0000187290002140   
0601OWA0N       20170101009000100000500000 0000198200002143   
0601OWA0N       20170101009500100000500000 0000209130002145   
0601OWA0N       20170101010000100000500000 0000220030002147   
0601OWA0N       20170101010500100000500000 0000230940002148   
0601OWA0N       20170101011000100000500000 0000241850002150   
0601OWA0N       20170101011500100000500000 0000252780002151   
0601OWA0N       20170101012000100000500000 0000263690002153   
0601OWA0N       20170101012500100000500000 0000274590002154   
0601OWA0N       20170101013000100000500000 0000285500002155   
0601OWA0N       20170101013500100000500000 0000296430002156   
0601OWA0N       20170101014000100000500000 0000307340002157   
0601OWA0N       20170101014500100000500000 0000318250002158   
0601OWA0N       20170101015000100000500000 0000329150002158   
0601OWA0N       20170101015500100000500000 0000340080002159   
0601OWA0N       20170101016000100000500000 0000350990002160   
0601OWA0N       20170101016500100000500000 0000361900002161   
0601OWA0N       20170101017000100000500000 0000372810002161   
0601OWA0N       20170101017500100000500000 0000383730002162   
0601OWA0N       20170101018000100000500000 0000394640002162   
