00VD               20170904                                                                                   
0601VDA0N       20180101001855100000005000 0000000000002581   
0601VDA0N       20180101001860100000005000 0000000000002583   
0601VDA0N       20180101001865100000005000 0000000000002588   
0601VDA0N       20180101001870100000005000 0000000000002592   
0601VDA0N       20180101001875100000005000 0000000000002595   
0601VDA0N       20180101001880100000005000 0000000000002600   
0601VDA0N       20180101001885100000005000 0000000000002603   
0601VDA0N       20180101001890100000005000 0000000000002606   
0601VDA0N       20180101001895100000005000 0000000000002611   
0601VDA0N       20180101001900100000005000 0000000000002614   
0601VDA0N       20180101001905100000005000 0000000000002617   
0601VDA0N       20180101001910100000005000 0000000000002622   
0601VDA0N       20180101001915100000005000 0000000000002625   
0601VDA0N       20180101001920100000005000 0000000000002628   
0601VDA0N       20180101001925100000005000 0000000000002633   
0601VDA0N       20180101001930100000005000 0000000000002636   
0601VDA0N       20180101001935100000005000 0000000000002639   
0601VDA0N       20180101001940100000005000 0000000000002644   
0601VDA0N       20180101001945100000005000 0000000000002646   
0601VDA0N       20180101001950100000005000 0000000000002650   
0601VDA0N       20180101001955100000005000 0000000000002654   
0601VDA0N       20180101001960100000005000 0000000000002657   
0601VDA0N       20180101001965100000005000 0000000000002660   
0601VDA0N       20180101001970100000005000 0000000000002664   
0601VDA0N       20180101001975100000005000 0000000000002668   
0601VDA0N       20180101001980100000005000 0000000000002670   
0601VDA0N       20180101001985100000005000 0000000000002675   
0601VDA0N       20180101001990100000005000 0000000000002677   
0601VDA0N       20180101001995100000005000 0000000000002681   
0601VDA0N       20180101002000100000050000 0000000000002697   
0601VDA0N       20180101002050100000050000 0000000000002729   
0601VDA0N       20180101002100100000050000 0000000000002762   
0601VDA0N       20180101002150100000050000 0000000000002792   
0601VDA0N       20180101002200100000050000 0000000000002822   
0601VDA0N       20180101002250100000050000 0000000000002849   
0601VDA0N       20180101002300100000050000 0000000000002878   
0601VDA0N       20180101002350100000050000 0000000000002904   
0601VDA0N       20180101002400100000050000 0000000000002930   
0601VDA0N       20180101002450100000050000 0000000000002957   
0601VDA0N       20180101002500100000050000 0000000000002981   
0601VDA0N       20180101002550100000050000 0000000000003005   
0601VDA0N       20180101002600100000050000 0000000000003029   
0601VDA0N       20180101002650100000050000 0000000000003051   
0601VDA0N       20180101002700100000050000 0000000000003073   
0601VDA0N       20180101002750100000050000 0000000000003096   
0601VDA0N       20180101002800100000050000 0000000000003118   
0601VDA0N       20180101002850100000050000 0000000000003138   
0601VDA0N       20180101002900100000050000 0000000000003160   
0601VDA0N       20180101002950100000050000 0000000000003178   
0601VDA0N       20180101003000100000050000 0000000000003197   
0601VDA0N       20180101003050100000050000 0000000000003215   
0601VDA0N       20180101003100100000050000 0000000000003234   
0601VDA0N       20180101003150100000050000 0000000000003250   
0601VDA0N       20180101003200100000050000 0000000000003267   
0601VDA0N       20180101003250100000050000 0000000000003284   
0601VDA0N       20180101003300100000050000 0000000000003299   
0601VDA0N       20180101003350100000050000 0000000000003313   
0601VDA0N       20180101003400100000050000 0000000000003329   
0601VDA0N       20180101003450100000050000 0000000000003343   
0601VDA0N       20180101003500100000050000 0000000000003356   
0601VDA0N       20180101003550100000050000 0000000000003370   
0601VDA0N       20180101003600100000050000 0000000000003383   
0601VDA0N       20180101003650100000050000 0000000000003395   
0601VDA0N       20180101003700100000050000 0000000000003408   
0601VDA0N       20180101003750100000050000 0000000000003420   
0601VDA0N       20180101003800100000050000 0000000000003432   
0601VDA0N       20180101003850100000050000 0000000000003443   
0601VDA0N       20180101003900100000050000 0000000000003455   
0601VDA0N       20180101003950100000050000 0000000000003465   
0601VDA0N       20180101004000100000050000 0000000000003476   
0601VDA0N       20180101004050100000050000 0000000000003487   
0601VDA0N       20180101004100100000050000 0000000000003497   
0601VDA0N       20180101004150100000050000 0000000000003507   
0601VDA0N       20180101004200100000050000 0000000000003516   
0601VDA0N       20180101004250100000050000 0000000000003525   
0601VDA0N       20180101004300100000050000 0000000000003535   
0601VDA0N       20180101004350100000050000 0000000000003544   
0601VDA0N       20180101004400100000050000 0000000000003553   
0601VDA0N       20180101004450100000050000 0000000000003561   
0601VDA0N       20180101004500100000050000 0000000000003569   
0601VDA0N       20180101004550100000050000 0000000000003578   
0601VDA0N       20180101004600100000050000 0000000000003586   
0601VDA0N       20180101004650100000050000 0000000000003593   
0601VDA0N       20180101004700100000050000 0000000000003601   
0601VDA0N       20180101004750100000050000 0000000000003609   
0601VDA0N       20180101004800100000050000 0000000000003616   
0601VDA0N       20180101004850100000050000 0000000000003624   
0601VDA0N       20180101004900100000050000 0000000000003631   
