00BL               20161213                                                                                   
0601BLA0N       20170101002490100000005000 0000068790002760   
0601BLA0N       20170101002495100000005000 0000068970002762   
0601BLA0N       20170101002500100000005000 0000069160002764   
0601BLA0N       20170101002505100000005000 0000069350002766   
0601BLA0N       20170101002510100000005000 0000069530002767   
0601BLA0N       20170101002515100000005000 0000069720002769   
0601BLA0N       20170101002520100000005000 0000069910002771   
0601BLA0N       20170101002525100000005000 0000070090002773   
0601BLA0N       20170101002530100000005000 0000070280002775   
0601BLA0N       20170101002535100000005000 0000070470002777   
0601BLA0N       20170101002540100000005000 0000070650002779   
0601BLA0N       20170101002545100000005000 0000070840002781   
0601BLA0N       20170101002550100000005000 0000071030002783   
0601BLA0N       20170101002555100000005000 0000071210002784   
0601BLA0N       20170101002560100000005000 0000071400002786   
0601BLA0N       20170101002565100000005000 0000071590002788   
0601BLA0N       20170101002570100000005000 0000071780002790   
0601BLA0N       20170101002575100000005000 0000071960002792   
0601BLA0N       20170101002580100000005000 0000072150002794   
0601BLA0N       20170101002585100000005000 0000072340002796   
0601BLA0N       20170101002590100000005000 0000072520002797   
0601BLA0N       20170101002595100000005000 0000072710002799   
0601BLA0N       20170101002600100000005000 0000072900002801   
0601BLA0N       20170101002605100000005000 0000073080002803   
0601BLA0N       20170101002610100000005000 0000073280002805   
0601BLA0N       20170101002615100000005000 0000073460002806   
0601BLA0N       20170101002620100000005000 0000073640002808   
0601BLA0N       20170101002625100000005000 0000073840002810   
0601BLA0N       20170101002630100000005000 0000074020002812   
0601BLA0N       20170101002635100000005000 0000074200002813   
0601BLA0N       20170101002640100000005000 0000074400002816   
0601BLA0N       20170101002645100000005000 0000074580002817   
0601BLA0N       20170101002650100000005000 0000074760002818   
0601BLA0N       20170101002655100000005000 0000074960002821   
0601BLA0N       20170101002660100000005000 0000075140002822   
0601BLA0N       20170101002665100000005000 0000075330002824   
0601BLA0N       20170101002670100000005000 0000075520002826   
0601BLA0N       20170101002675100000005000 0000075700002827   
0601BLA0N       20170101002680100000005000 0000075890002829   
0601BLA0N       20170101002685100000005000 0000076080002831   
0601BLA0N       20170101002690100000005000 0000076260002832   
0601BLA0N       20170101002695100000005000 0000076450002834   
0601BLA0N       20170101002700100000005000 0000076640002836   
0601BLA0N       20170101002705100000005000 0000076830002838   
0601BLA0N       20170101002710100000005000 0000077010002839   
0601BLA0N       20170101002715100000005000 0000077210002841   
0601BLA0N       20170101002720100000005000 0000077390002843   
0601BLA0N       20170101002725100000005000 0000077570002844   
0601BLA0N       20170101002730100000005000 0000077770002846   
0601BLA0N       20170101002735100000005000 0000077950002847   
0601BLA0N       20170101002740100000005000 0000078130002849   
0601BLA0N       20170101002745100000005000 0000078330002851   
0601BLA0N       20170101002750100000005000 0000078510002852   
0601BLA0N       20170101002755100000005000 0000078700002854   
0601BLA0N       20170101002760100000005000 0000078890002856   
0601BLA0N       20170101002765100000005000 0000079080002857   
0601BLA0N       20170101002770100000005000 0000079260002859   
0601BLA0N       20170101002775100000005000 0000079450002860   
0601BLA0N       20170101002780100000005000 0000079640002862   
0601BLA0N       20170101002785100000005000 0000079820002863   
0601BLA0N       20170101002790100000005000 0000080020002866   
