00SG               20161130                                                                                   
0601SGA0N       20170101001115100000005000 0000000000001734   
0601SGA0N       20170101001120100000005000 0000000000001738   
0601SGA0N       20170101001125100000005000 0000000000001742   
0601SGA0N       20170101001130100000005000 0000000000001745   
0601SGA0N       20170101001135100000005000 0000000000001752   
0601SGA0N       20170101001140100000005000 0000000000001755   
0601SGA0N       20170101001145100000005000 0000000000001759   
0601SGA0N       20170101001150100000005000 0000000000001763   
0601SGA0N       20170101001155100000005000 0000000000001769   
0601SGA0N       20170101001160100000005000 0000000000001773   
0601SGA0N       20170101001165100000005000 0000000000001776   
0601SGA0N       20170101001170100000005000 0000000000001780   
0601SGA0N       20170101001175100000005000 0000000000001783   
0601SGA0N       20170101001180100000005000 0000000000001789   
0601SGA0N       20170101001185100000005000 0000000000001793   
0601SGA0N       20170101001190100000005000 0000000000001796   
0601SGA0N       20170101001195100000005000 0000000000001800   
0601SGA0N       20170101001200100000005000 0000000000001805   
0601SGA0N       20170101001205100000005000 0000000000001809   
0601SGA0N       20170101001210100000005000 0000000000001812   
0601SGA0N       20170101001215100000005000 0000000000001815   
0601SGA0N       20170101001220100000005000 0000000000001819   
0601SGA0N       20170101001225100000005000 0000000000001824   
0601SGA0N       20170101001230100000005000 0000000000001827   
0601SGA0N       20170101001235100000005000 0000000000001830   
0601SGA0N       20170101001240100000005000 0000000000001834   
0601SGA0N       20170101001245100000005000 0000000000001839   
0601SGA0N       20170101001250100000005000 0000000000001842   
0601SGA0N       20170101001255100000005000 0000000000001845   
0601SGA0N       20170101001260100000005000 0000000000001850   
0601SGA0N       20170101001265100000005000 0000000000001853   
0601SGA0N       20170101001270100000005000 0000000000001856   
0601SGA0N       20170101001275100000005000 0000000000001861   
0601SGA0N       20170101001280100000005000 0000000000001864   
0601SGA0N       20170101001285100000005000 0000000000001867   
0601SGA0N       20170101001290100000005000 0000000000001872   
0601SGA0N       20170101001295100000005000 0000000000001875   
0601SGA0N       20170101001300100000005000 0000000000001878   
0601SGA0N       20170101001305100000005000 0000000000001883   
0601SGA0N       20170101001310100000005000 0000000000001886   
0601SGA0N       20170101001315100000005000 0000000000001888   
0601SGA0N       20170101001320100000005000 0000000000001893   
0601SGA0N       20170101001325100000005000 0000000000001896   
0601SGA0N       20170101001330100000005000 0000000000001899   
0601SGA0N       20170101001335100000005000 0000000000001903   
0601SGA0N       20170101001340100000005000 0000000000001906   
0601SGA0N       20170101001345100000005000 0000000000001909   
0601SGA0N       20170101001350100000005000 0000000000001913   
0601SGA0N       20170101001355100000005000 0000000000001916   
0601SGA0N       20170101001360100000005000 0000000000001918   
0601SGA0N       20170101001365100000005000 0000000000001923   
0601SGA0N       20170101001370100000005000 0000000000001925   
0601SGA0N       20170101001375100000005000 0000000000001928   
0601SGA0N       20170101001380100000005000 0000000000001933   
0601SGA0N       20170101001385100000005000 0000000000001936   
0601SGA0N       20170101001390100000005000 0000000000001939   
0601SGA0N       20170101001395100000005000 0000000000001944   
0601SGA0N       20170101001400100000005000 0000000000001947   
0601SGA0N       20170101001405100000005000 0000000000001950   
0601SGA0N       20170101001410100000005000 0000000000001955   
0601SGA0N       20170101001415100000005000 0000000000001958   
0601SGA0N       20170101001420100000005000 0000000000001961   
0601SGA0N       20170101001425100000005000 0000000000001966   
0601SGA0N       20170101001430100000005000 0000000000001969   
0601SGA0N       20170101001435100000005000 0000000000001972   
0601SGA0N       20170101001440100000005000 0000000000001977   
0601SGA0N       20170101001445100000005000 0000000000001980   
0601SGA0N       20170101001450100000005000 0000000000001983   
0601SGA0N       20170101001455100000005000 0000000000001987   
0601SGA0N       20170101001460100000005000 0000000000001990   
0601SGA0N       20170101001465100000005000 0000000000001993   
0601SGA0N       20170101001470100000005000 0000000000001997   
0601SGA0N       20170101001475100000005000 0000000000002000   
0601SGA0N       20170101001480100000005000 0000000000002003   
0601SGA0N       20170101001485100000005000 0000000000002008   
0601SGA0N       20170101001490100000005000 0000000000002010   
0601SGA0N       20170101001495100000005000 0000000000002013   
0601SGA0N       20170101001500100000005000 0000000000002017   
0601SGA0N       20170101001505100000005000 0000000000002020   
0601SGA0N       20170101001510100000005000 0000000000002023   
0601SGA0N       20170101001515100000005000 0000000000002027   
0601SGA0N       20170101001520100000005000 0000000000002030   
0601SGA0N       20170101001525100000005000 0000000000002032   
0601SGA0N       20170101001530100000005000 0000000000002036   
0601SGA0N       20170101001535100000005000 0000000000002039   
0601SGA0N       20170101001540100000005000 0000000000002041   
0601SGA0N       20170101001545100000005000 0000000000002046   
0601SGA0N       20170101001550100000005000 0000000000002048   
0601SGA0N       20170101001555100000005000 0000000000002051   
0601SGA0N       20170101001560100000005000 0000000000002055   
0601SGA0N       20170101001565100000005000 0000000000002057   
0601SGA0N       20170101001570100000005000 0000000000002060   
0601SGA0N       20170101001575100000005000 0000000000002064   
0601SGA0N       20170101001580100000005000 0000000000002066   
0601SGA0N       20170101001585100000005000 0000000000002068   
0601SGA0N       20170101001590100000005000 0000000000002072   
0601SGA0N       20170101001595100000005000 0000000000002075   
0601SGA0N       20170101001600100000005000 0000000000002077   
0601SGA0N       20170101001605100000005000 0000000000002081   
0601SGA0N       20170101001610100000005000 0000000000002083   
0601SGA0N       20170101001615100000005000 0000000000002085   
0601SGA0N       20170101001620100000005000 0000000000002089   
0601SGA0N       20170101001625100000005000 0000000000002092   
0601SGA0N       20170101001630100000005000 0000000000002094   
0601SGA0N       20170101001635100000005000 0000000000002098   
0601SGA0N       20170101001640100000005000 0000000000002100   
0601SGA0N       20170101001645100000005000 0000000000002102   
0601SGA0N       20170101001650100000005000 0000000000002106   
0601SGA0N       20170101001655100000005000 0000000000002108   
0601SGA0N       20170101001660100000005000 0000000000002110   
0601SGA0N       20170101001665100000005000 0000000000002114   
0601SGA0N       20170101001670100000005000 0000000000002116   
0601SGA0N       20170101001675100000005000 0000000000002118   
0601SGA0N       20170101001680100000005000 0000000000002122   
0601SGA0N       20170101001685100000005000 0000000000002124   
0601SGA0N       20170101001690100000005000 0000000000002126   
0601SGA0N       20170101001695100000005000 0000000000002129   
0601SGA0N       20170101001700100000005000 0000000000002131   
0601SGA0N       20170101001705100000005000 0000000000002133   
0601SGA0N       20170101001710100000005000 0000000000002137   
0601SGA0N       20170101001715100000005000 0000000000002139   
0601SGA0N       20170101001720100000005000 0000000000002141   
0601SGA0N       20170101001725100000005000 0000000000002144   
0601SGA0N       20170101001730100000005000 0000000000002146   
0601SGA0N       20170101001735100000005000 0000000000002148   
0601SGA0N       20170101001740100000005000 0000000000002152   
0601SGA0N       20170101001745100000005000 0000000000002153   
0601SGA0N       20170101001750100000005000 0000000000002155   
0601SGA0N       20170101001755100000005000 0000000000002159   
0601SGA0N       20170101001760100000005000 0000000000002161   
0601SGA0N       20170101001765100000005000 0000000000002162   
0601SGA0N       20170101001770100000005000 0000000000002166   
0601SGA0N       20170101001775100000005000 0000000000002169   
0601SGA0N       20170101001780100000005000 0000000000002171   
0601SGA0N       20170101001785100000005000 0000000000002175   
0601SGA0N       20170101001790100000005000 0000000000002177   
0601SGA0N       20170101001795100000005000 0000000000002179   
0601SGA0N       20170101001800100000005000 0000000000002183   
0601SGA0N       20170101001805100000005000 0000000000002186   
0601SGA0N       20170101001810100000005000 0000000000002188   
0601SGA0N       20170101001815100000005000 0000000000002192   
0601SGA0N       20170101001820100000005000 0000000000002194   
0601SGA0N       20170101001825100000005000 0000000000002196   
0601SGA0N       20170101001830100000005000 0000000000002200   
0601SGA0N       20170101001835100000005000 0000000000002202   
0601SGA0N       20170101001840100000005000 0000000000002204   
0601SGA0N       20170101001845100000005000 0000000000002208   
0601SGA0N       20170101001850100000005000 0000000000002210   
0601SGA0N       20170101001855100000005000 0000000000002212   
0601SGA0N       20170101001860100000005000 0000000000002216   
0601SGA0N       20170101001865100000005000 0000000000002218   
0601SGA0N       20170101001870100000005000 0000000000002220   
0601SGA0N       20170101001875100000005000 0000000000002223   
0601SGA0N       20170101001880100000005000 0000000000002225   
0601SGA0N       20170101001885100000005000 0000000000002227   
0601SGA0N       20170101001890100000005000 0000000000002231   
0601SGA0N       20170101001895100000005000 0000000000002233   
0601SGA0N       20170101001900100000005000 0000000000002235   
0601SGA0N       20170101001905100000005000 0000000000002239   
0601SGA0N       20170101001910100000005000 0000000000002241   
0601SGA0N       20170101001915100000005000 0000000000002243   
0601SGA0N       20170101001920100000005000 0000000000002246   
