00GE               20161120                                                                                   
0601GEA0N       20170101002945005000010000 0000000000003035   
0601GEA0N       20170101002955005000010000 0000000000003039   
0601GEA0N       20170101002965005000010000 0000000000003042   
0601GEA0N       20170101002975005000010000 0000000000003045   
0601GEA0N       20170101002985005000010000 0000000000003048   
0601GEA0N       20170101002995005000010000 0000000000003051   
0601GEA0N       20170101003005005000010000 0000000000003054   
0601GEA0N       20170101003015005000010000 0000000000003057   
0601GEA0N       20170101003025005000010000 0000000000003060   
0601GEA0N       20170101003035005000010000 0000000000003063   
0601GEA0N       20170101003045005000010000 0000000000003066   
0601GEA0N       20170101003055005000010000 0000000000003069   
0601GEA0N       20170101003065005000010000 0000000000003072   
0601GEA0N       20170101003075005000010000 0000000000003075   
0601GEA0N       20170101003085005000010000 0000000000003077   
0601GEA0N       20170101003095005000010000 0000000000003080   
0601GEA0N       20170101003105005000010000 0000000000003083   
0601GEA0N       20170101003115005000010000 0000000000003086   
0601GEA0N       20170101003125005000010000 0000000000003089   
0601GEA0N       20170101003135005000010000 0000000000003092   
0601GEA0N       20170101003145005000010000 0000000000003094   
0601GEA0N       20170101003155005000010000 0000000000003097   
0601GEA0N       20170101003165005000010000 0000000000003100   
0601GEA0N       20170101003175005000010000 0000000000003103   
0601GEA0N       20170101003185005000010000 0000000000003105   
0601GEA0N       20170101003195005000010000 0000000000003108   
0601GEA0N       20170101003205005000010000 0000000000003111   
0601GEA0N       20170101003215005000010000 0000000000003113   
0601GEA0N       20170101003225005000010000 0000000000003116   
0601GEA0N       20170101003235005000010000 0000000000003119   
0601GEA0N       20170101003245005000010000 0000000000003121   
0601GEA0N       20170101003255005000010000 0000000000003124   
0601GEA0N       20170101003265005000010000 0000000000003126   
0601GEA0N       20170101003275005000010000 0000000000003129   
0601GEA0N       20170101003285005000010000 0000000000003132   
0601GEA0N       20170101003295005000010000 0000000000003134   
0601GEA0N       20170101003305005000010000 0000000000003137   
0601GEA0N       20170101003315005000010000 0000000000003139   
0601GEA0N       20170101003325005000010000 0000000000003141   
0601GEA0N       20170101003335005000010000 0000000000003144   
