00AR               20131210                                                                                   
0601ARA0N       20140101001270100000005000 0000021450001686   
0601ARA0N       20140101001275100000005000 0000021590001690   
0601ARA0N       20140101001280100000005000 0000021720001694   
0601ARA0N       20140101001285100000005000 0000021840001696   
0601ARA0N       20140101001290100000005000 0000021980001701   
0601ARA0N       20140101001295100000005000 0000022100001703   
0601ARA0N       20140101001300100000005000 0000022230001707   
0601ARA0N       20140101001305100000005000 0000022370001711   
0601ARA0N       20140101001310100000005000 0000022500001714   
0601ARA0N       20140101001315100000005000 0000022620001717   
0601ARA0N       20140101001320100000005000 0000022770001722   
0601ARA0N       20140101001325100000005000 0000022890001724   
0601ARA0N       20140101001330100000005000 0000023010001727   
0601ARA0N       20140101001335100000005000 0000023160001732   
0601ARA0N       20140101001340100000005000 0000023280001734   
0601ARA0N       20140101001345100000005000 0000023400001737   
0601ARA0N       20140101001350100000005000 0000023550001741   
0601ARA0N       20140101001355100000005000 0000023670001744   
0601ARA0N       20140101001360100000005000 0000023790001746   
0601ARA0N       20140101001365100000005000 0000023940001751   
0601ARA0N       20140101001370100000005000 0000024060001753   
0601ARA0N       20140101001375100000005000 0000024190001756   
0601ARA0N       20140101001380100000005000 0000024350001761   
0601ARA0N       20140101001385100000005000 0000024480001764   
0601ARA0N       20140101001390100000005000 0000024610001767   
0601ARA0N       20140101001395100000005000 0000024770001772   
0601ARA0N       20140101001400100000005000 0000024900001775   
0601ARA0N       20140101001405100000005000 0000025030001778   
0601ARA0N       20140101001410100000005000 0000025190001783   
0601ARA0N       20140101001415100000005000 0000025320001786   
0601ARA0N       20140101001420100000005000 0000025450001789   
0601ARA0N       20140101001425100000005000 0000025610001794   
0601ARA0N       20140101001430100000005000 0000025740001797   
0601ARA0N       20140101001435100000005000 0000025870001800   
0601ARA0N       20140101001440100000005000 0000026030001805   
0601ARA0N       20140101001445100000005000 0000026160001807   
0601ARA0N       20140101001450100000005000 0000026290001810   
0601ARA0N       20140101001455100000005000 0000026450001815   
0601ARA0N       20140101001460100000005000 0000026580001817   
0601ARA0N       20140101001465100000005000 0000026710001820   
0601ARA0N       20140101001470100000005000 0000026870001825   
0601ARA0N       20140101001475100000005000 0000027000001827   
0601ARA0N       20140101001480100000005000 0000027130001830   
0601ARA0N       20140101001485100000005000 0000027290001835   
0601ARA0N       20140101001490100000010000 0000000000001835   
0601ARA0N       20140101001500100000500000 0000000000001976   
0601ARA0N       20140101002000100000500000 0000000000002202   
0601ARA0N       20140101002500100007499900 0000000000002277   
0601ARA1N       20140101000000100000115000 0100000000000027   
0601ARA1N       20140101000115100000005000 0100000030000026   
0601ARA1N       20140101000120100000005000 0100000030000024   
0601ARA1N       20140101000125100000005000 0100000030000024   
0601ARA1N       20140101000130100000005000 0100000030000023   
0601ARA1N       20140101000135100000005000 0100000030000022   
