00AG               20161121                                                                                   
0601AGA1N       20170101000275100000005000 0100000080000030   
0601AGA1N       20170101000280100000005000 0100000110000040   
0601AGA1N       20170101000285100000005000 0100000110000040   
0601AGA1N       20170101000290100000005000 0100000140000050   
0601AGA1N       20170101000295100000005000 0100000140000050   
0601AGA1N       20170101000300100000005000 0100000180000060   
0601AGA1N       20170101000305100000005000 0100000210000070   
0601AGA1N       20170101000310100000005000 0100000250000080   
0601AGA1N       20170101000315100000005000 0100000250000080   
0601AGA1N       20170101000320100000005000 0100000290000090   
0601AGA1N       20170101000325100000005000 0100000290000090   
0601AGA1N       20170101000330100000005000 0100000630000190   
0601AGA1N       20170101000335100000005000 0100000640000190   
0601AGA1N       20170101000340100000005000 0100000680000200   
0601AGA1N       20170101000345100000005000 0100000720000210   
0601AGA1N       20170101000350100000005000 0100000770000220   
0601AGA1N       20170101000355100000005000 0100000820000230   
0601AGA1N       20170101000360100000005000 0100000870000240   
0601AGA1N       20170101000365100000005000 0100000880000240   
0601AGA1N       20170101000370100000005000 0100000930000250   
0601AGA1N       20170101000375100000005000 0100000980000260   
0601AGA1N       20170101000380100000005000 0100001030000270   
0601AGA1N       20170101000385100000005000 0100001160000300   
0601AGA1N       20170101000390100000005000 0100001210000310   
0601AGA1N       20170101000395100000005000 0100001230000310   
0601AGA1N       20170101000400100000005000 0100001280000320   
0601AGA1N       20170101000405100000005000 0100001340000330   
0601AGA1N       20170101000410100000005000 0100001400000340   
0601AGA1N       20170101000415100000005000 0100001460000350   
0601AGA1N       20170101000420100000005000 0100001520000360   
0601AGA1N       20170101000425100000005000 0100001580000370   
0601AGA1N       20170101000430100000005000 0100001600000370   
0601AGA1N       20170101000435100000005000 0100001660000380   
0601AGA1N       20170101000440100000005000 0100001810000410   
0601AGA1N       20170101000445100000005000 0100001870000420   
0601AGA1N       20170101000450100000005000 0100001940000430   
0601AGA1N       20170101000455100000005000 0100001960000430   
0601AGA1N       20170101000460100000005000 0100002030000440   
0601AGA1N       20170101000465100000005000 0100002100000450   
0601AGA1N       20170101000470100000005000 0100002170000460   
0601AGA1N       20170101000475100000005000 0100002190000460   
0601AGA1N       20170101000480100000005000 0100002260000470   
0601AGA1N       20170101000485100000005000 0100002340000480   
0601AGA1N       20170101000490100000005000 0100002410000490   
0601AGA1N       20170101000495100000005000 0100002580000520   
0601AGA1N       20170101000500100000005000 0100002660000530   
0601AGA1N       20170101000505100000005000 0100002680000530   
